English	臺灣	中國大陸
Definition	定義；解析度	定義；清晰度
Delegate, Delegation	委派	委託
Dependency	相依性；依賴關係	依賴
Derived class	衍生類別	派生類
Design pattern	設計模式	設計模式
Destructor	解構式，解構函式	析構函數
Detect, Detection	偵測	檢測
Device	裝置	設備
Dialog	對話方塊 (win)；對話框 (mac)	對話框
Digital	數位的；數位化	數字的；數位化
Digital signature	數位簽章	數字簽名
Digital certificate	數位憑證	數字證書
Directory	目錄	目錄
Disk	碟	盤
Disk image	磁碟映像檔	磁碟映像
Dispatch	分派	分派；調度
Distributed	分散式	分布式
Distribute, Distribution	分發；分配；分散	分發；分配；分布
Distribution	發布/發行（版本）；發行套件	發行（版本）
Document	文件	文檔；文稿
Domain	網域	域
Driver	驅動程式	驅動程序
Drop-down, Dropdown (noun)	下拉式選單	下拉菜單
Drop-down, Dropdown (verb)	下拉	下拉
Drop-down menu	下拉式功能表 (win)；下拉式選單 (mac)	下拉菜單 (win/mac)
Drop-down list	下拉式清單	下拉列表
Dynamic binding	動態繫結，動態連結，動態綁定	動態綁定
Element	元素；元件	元素；元件
Email, E-mail	電子郵件	電子郵件
Enable	啟用	啟用
Encapsulation	封裝	封裝
Enter	確認；進入	回車鍵
Entity	實體	實體
Enumeration	列舉	枚舉
Equal	相等的	相等的
Equality	相等性，相等	相等性，相等
Escape code	跳脫碼，逸出碼，轉義碼	轉義碼
Event	事件	事件
Exception	例外	異常
Explicit	明確的 (win)；顯式 (mac)	顯式
Export	匯出	導出
Expression	運算式 (win)；表示式 (mac)；表達式	表達式
Extension	擴充（程式、功能）；擴充功能 (win)；延伸功能 (mac)	擴展（程序、功能）
Extension	副檔名	擴展名
Feature	特色，特點，特徵	特色，特點
Feature
(vs. Function)	（特殊的）功能	（特殊的）功能
Feedback	回饋	反饋
Field	欄位；域	欄位，欄位；域
File	檔案	文件
File system	檔案系統	文件系統
Filter	過濾器	過濾器
Find	尋找	查找
Firmware	韌體	韌體
Flag	旗標	標記
Flash memory	快閃記憶體	快閃記憶體
Flush	排清，清除	刷新
對齊，齊平	對齊，齊平
Folder	資料夾 (win)；檔案夾 (mac)	文件夾
Font	字型 (win)；字體 (mac)	字體
Form	表單	表單
Format (noun)	格式	格式
Format (verb)	格式化	格式化
Forward	轉發，轉送，轉寄	轉發，轉送，轉寄
Fragment	片段	片段
Frame	影格，畫面；框架	幀；框架
Frame rate
FPS (frames per second)	影格率，畫面更新率	幀率
Framework	框架	框架
Frozen	（軟體或影片）畫面定格；凍結，鎖定	凍結，鎖定
Full screen, Fullscreen	全螢幕	全屏
Function	函式，函數	函數
Function
(vs. Feature)	（一般的）功能	（一般的）功能
Functionality	功能	功能
Game	遊戲	遊戲
Gateway	閘道器	網關
General	一般的	通用的
Generate	產生，生成	生成
Generic	通用的	通用的
Generics	泛型	泛型
Global	全域的；總體的，整體的，通用的	全局的
Group box	群組方塊	分組框，群組框
Graph	圖	圖
Handle	控制代碼	句柄
Handler	處理常式，處理程式，處理器	處理程序，處理器
Hardware	硬體	硬體
Hash	雜湊	哈希
Header file	標頭檔	頭文件
Heap	堆積	堆
Help	使用說明；說明；幫助	幫助
Hierarchy	階層	層次結構
High Definition	高解析度，高畫質	高清晰度，高清
Host file	主機檔案，host 檔案	主機文件
Home folder	主資料夾 (win)；個人專屬檔案夾 (mac)	主文件夾 (win)；個人文件夾 (mac)
Home page	首頁，主頁	主頁
Icon	圖示 (win)
圖像 (mac)	圖標
IDE	整合式開發環境	集成開發環境
Identifier	識別字	標識符
Idle	閒置	閒置
Image	影像；圖像，圖片；映像檔	影像；圖像，圖片；映像
Immutable	不可變的；無法更改的	不可變的；不可更改的
Implement	實作	實現
Implementation	實作（品）	實現
Implicit	隱含的 (win)；隱式 (mac)	隱式
Import	匯入	導入
Indent	縮排	縮進
Info	資訊	簡介
Information	資訊	信息
Inheritance	繼承	繼承
Initialization	初始化	初始化
Inline	行內；內嵌	內聯
Instance	實體；實例	實例
Integrate	整合	集成
Integrated	整合式，整合的	集成的
Integrity	完整性	完整性
Interact, Interaction	互動	交互
Interface	介面	接口
Internal Storage	內部儲存	內存 (僅手機等便攜裝置，民間稱謂)
Internationalization (I18N)	國際化	國際化
Internet	網際網路	網際網路
Interpreter	直譯器	解釋器
Invoke	呼叫 (mac)
執行，叫用 (win)	調用
Iterate	疊代；
反覆（運算）	迭代；
重複、循環（訪問）
Iteration	疊代	迭代
Iterator	疊代器	迭代器
Kernel	核心	核心
Key	金鑰，密鑰	密鑰
Keybind	快速鍵	快捷鍵
Lag	延遲	延遲
Layout	布局，配置	布局，配置
Lazy loading	惰性載入；消極式載入；延遲載入；懶載入	延遲加載；懶加載
Lexer, Lexical analyzer	詞法分析器	詞法分析器
Lexical analysis	詞法分析	詞法分析
Library	程式庫，函式庫	程序庫，函數庫
Link	連結	連結
Link time	連結期	連結期
Linked list	連結串列	鍊表
Linker	連結器	連結器
List	清單；列表	列表
Listener	監聽器	監聽器
Literals	字面值，定數，常值	字面值，字面量
Literal constant	字面常數，字面常值	字面常量
Load	載入	加載
Load time	載入期	加載期
Loader	載入器	加載器
Local	區域的，本地的；本機	局部的，本地的；本地（主機）
Localization (L10N)	在地化	本地化
Local variable	區域變數	局部變量
Lock	鎖定	鎖定
Log	記錄	日誌
Log in, Login	登入	登錄
Log out, Logout	登出	退出；註銷
Loop	迴圈；重複；循環	循環
Map, Mapping	對應；映射	映射
Match	配對；符合；配合；比對；匹配	匹配
Macro	巨集	宏
Memory	記憶體	內存
Menu	選單；功能表	菜單
Message	訊息	消息；信息
Metadata	中繼資料 (win)
後設資料 (mac)
詮釋資料	元數據
Middleware	中介層，中介軟體	中間件，中間軟體
Mobile	行動	移動
Moderate, Moderation	審核	審核
Modifier	修飾子，修飾詞	修飾符
Module	模組	模塊
Monomorphism	單型	單態
Motherboard	主機板	主板
Mouse	滑鼠	滑鼠
Mouse pointer	滑鼠指標	滑鼠指針
Multitasking	多工（處理）	多任務（處理）
Mutable	可變的	可變的
Mutex	互斥	互斥
Native	原生	原生
Navigate, Navigation	導覽	導航
Navigator	導覽器	導航器
Nested	巢狀的	嵌套的
Network	網路	網絡
New	新增	新建
Notarization	公證	公證
Object	物件	對象
Object code	目的碼	目標代碼
Object file	目的檔，目的碼檔	目標文件
Object-oriented	物件導向	物件導向
Online	線上	在線
Operand	運算元	操作數，運算元
Operating system	作業系統	作業系統
Operator	運算子	操作符，運算符
Optimize, Optimization	最佳化	優化
Option	選項	參數
Overflow	溢位（上限溢位）	溢出（上溢出）
Overlay	嵌入介面	疊加面板
Overload	多載，覆載，重載	重載
Override	覆寫，重寫	覆蓋，重寫
Pack	封裝，壓縮	打包，壓縮
Package (noun)	套件，軟體包	（程序、軟體）包
Package (verb)	封裝	打包，封裝
Pane	窗格 (win)
面板 (mac)	窗格 (win)
面板 (mac)
Parallelism	平行性，平行	並行性，並行
Parameter	參數	參數（也稱為形式參數，形參）
Parse	分析；剖析；解析	解析
Parser	語法剖析器	語法分析器
Partition	分割；（硬碟）分割區	分割；（硬碟）分區
Paste	貼上	粘貼
Patch	更新檔 (win)
修補程式 (mac)	補丁 (win)
修補程序 (mac)
Pattern	模式；樣式	模式；樣式
Performance	效能	性能
Persistence	持續性	持久性
Photo	照片	照片
Physical layer	實體層	物理層
Picklist	挑選清單 (win)；選取列表 (mac)	選擇列表
Placeholder	佔位符號，
預留位置 (win)
暫存區 (mac)	占位符
Pluggability	可拔插性	可插入性
Plugin	外掛程式 (win)
外掛模組 (mac)	外掛程式 擴展
Pointer	指標	指針
Polymorphism	多型	多態
Port	（連接）埠	埠
Power bank	行動電源	移動電源，充電寶
Presentation layer	表現層	表示層
Preset	預設	預設
Print	列印	列印
Printer	列印機，印表機	印表機
Procedure	程序	過程
Process	行程；程序	進程
Profile	設定檔 (win)
描述檔 (mac)	配置文件 (win)
描述文件 (mac)
Profile	評測	評測
Profile (or Personal profile)	個人檔案	個人資料
Profiler	（效能）分析工具	（性能）分析器
Program	程式	程序
Project	專案	項目，工程
Protocol	協定	協議
Provision, Provisioning	佈建	預配
Proxy (or Proxy server)	代理伺服器	代理伺服器
Pseudo code	虛擬碼	偽代碼
Pull-down list	下拉式清單	下拉列表
Quality	品質	質量
Queue	佇列	隊列
Quit unexpectedly	(App)閃退	意外退出
Radian	徑度	弧度
Radio button	選項按鈕 (win)
圓形按鈕 (mac)	單選按鈕
RAM (Random Access Memory)	隨機存取記憶體	隨機存取存儲器
Read	讀取	讀
Read-only	唯讀	只讀
Recovery	復原，還原	還原 (win)，恢復 (mac)
Recursion	遞迴	遞歸
Redirect, Redirection	重新導向；轉址	重定向
Reference	參照，參考	參考
Register	暫存器；註冊	暫存器；註冊
Regular expression	正規表示式；正規表示法；正規表達式；規則運算式	正則表達式
Release	（發行、發布）版本	（發行、發布）版本
Remote	遠端	遠程
Render	算繪；渲染	渲染
Resolution	解析度	解析度
Response	回應	響應
Response body	回應本文	響應正文
Response header	回應標頭	響應頭
Restore	還原 (win)，回復 (mac)	還原 (win)，恢復 (mac)
Return	回傳，傳回；恢復	返回；恢復
Revoke, Revocation	撤銷	撤銷
Rollback	復原	回滾，回退
Routine	常式	程序
Run	執行	運行
Runtime, Run-time	執行期；執行環境	運行期，運行時；運行環境
Runtime environment (RTE), Runtime system	執行環境；執行系統	運行環境；運行系統
Save	儲存	保存
Sampling	取樣	取樣
Scalar	純量	純量
Schedule	排程	調度
Scheduler	排程器，排程程式	調度器，調度程序
Scope	（作用、有效）範圍，域	（作用、有效）範圍，域
Scroll bar	捲軸	滾動條
Script	指令碼 (win)
工序指令 (mac)	腳本
SDK (Software Development Kit)	軟體開發工具包 (win)
軟體開發套件 (mac)	軟體開發工具包 (win)
軟體開發套件 (mac)
Search engine	搜尋引擎	搜尋引擎
Security	安全性	安全性
Segment	區段	段
Semaphore	號誌	信號量
Server	伺服器	伺服器
Server-side	伺服器端	伺服器端，服務端
Session	工作階段，作業階段	會話
Session	（電腦網路）對談/話，會談/話；連線階段	會話
Session layer	會議層	會話層
Set up	設定	設置
Settings	設定	設置
Shortcut	捷徑	快捷
Shortcut key	快速鍵	快捷鍵
Sign in, sign-in	登入	登錄
Sign out, sign-out	登出	退出，註銷
Silicon	矽	矽
Simulation	模擬	模擬
Signature	簽章；簽名	簽名
Slider	滑桿	滑塊
Smart	智慧	智能
Smartphone	智慧型手機	智慧型手機
SMS (Short Message Service)	簡訊	短信
Snip	擷圖	截圖
Source code	原始碼	原始碼，源碼
Stack	堆疊	棧
Star rating	星級評等 (win)
星號評等 (mac)	星級評分
Statement	敘述，陳述（句）	語句
Status bar	狀態列	狀態欄
Stepper	步進器	步進器
Stream	串流；資料流	（數據）流
String	字串	字符串
String interpolation	字串插值	字符串插值
Stuttering	（軟體或影片的畫面）斷斷續續	-
Subclass	子類別	子類
Subroutine	副程式	子例程
Superclass	父類別	超類
Support	支援	支持
Suspend	暫停（權限）	暫停（權限）
Synchronize	同步	同步
Synchronous	同步的	同步的
Syntactic analysis	語法分析；語法剖析	語法分析
Tab	索引標籤，分頁，標籤（頁）	標籤（頁）
Tag	標記	標籤
Task	工作	任務
Template	範本	模板
Text	文字	文本
Text box	文字框	文本框
Thread	執行緒	執行緒
Top-up	加值，儲值	充值
Token	標記 (win)
代號 (mac)	標記 (win)
令牌 (mac)
權杖；代幣	權杖；代幣
Traverse	走訪	遍歷
Tray (or System tray)	系統匣	系統托盤
Tree	樹	樹
Tuple	元組	元組
Tutorial	教學	教程
Type	型別，型態	類型
Universal	通用的	通用的
Variable	變數	變量
Video	影片；視訊	視頻
View	檢視；顯示；視圖	查看；顯示；視圖
Voice	語音	語音
Volume	磁碟區 (win)；卷宗 (mac)	卷 (win)；宗卷 (mac)
Window	視窗	窗口
Widget	視窗元件；小工具	窗口部件；小部件
Wildcard	萬用字元	通配符
Workspaces	工作區；工作空間	工作區
Write	寫入	寫
